Frequency,Amplitude
0,0.000448148
0.5,0.001041
1,0.00123286
1.5,0.00173995
2,0.000991035
2.5,0.000156287
3,0.000676933
3.5,0.000134896
4,0.00063882
4.5,0.000620088
5,0.00058931
5.5,0.00016409
6,0.000278397
6.5,0.000866203
7,0.000474793
7.5,0.000360312
8,0.000222118
8.5,0.000364335
9,0.00108924
9.5,0.000810758
10,0.000538212
10.5,0.000636338
11,0.00085714
11.5,0.00106526
12,0.00272876
12.5,0.00136877
13,0.00094714
13.5,0.00074589
14,0.0015208
14.5,0.00196729
15,0.00110553
15.5,0.00107084
16,0.00143569
16.5,0.000589585
17,0.000435018
17.5,0.000429804
18,0.000889844
18.5,0.00108847
19,0.000880424
19.5,7.70636e-05
20,0.0013043
20.5,0.00189223
21,0.000901694
21.5,0.000877364
22,0.000617161
22.5,0.000334971
23,0.0011218
23.5,0.000639629
24,0.00191681
24.5,0.00195604
25,0.00211248
25.5,0.000599595
26,0.00161341
26.5,0.00181064
27,0.00174235
27.5,0.00121294
28,0.00093883
28.5,0.000673035
29,0.000488332
29.5,0.00131493
30,0.00102566
30.5,0.000302423
31,0.000336337
31.5,0.00212624
32,0.000956858
32.5,0.00216722
33,0.000788603
33.5,0.00207505
34,0.00153399
34.5,0.000405264
35,0.00011415
35.5,0.00184287
36,0.00104306
36.5,0.00151398
37,0.00121995
37.5,0.000728927
38,0.00199341
38.5,0.0017526
39,0.000542937
39.5,0.00154597
40,0.00233332
40.5,0.000842589
41,0.00108217
41.5,0.00307682
42,0.00132748
42.5,0.00215556
43,0.00130236
43.5,0.000522703
44,0.00223732
44.5,0.000617068
45,0.000480786
45.5,0.000660155
46,0.000319669
46.5,0.00125081
47,0.0011599
47.5,0.00112657
48,9.09247e-05
48.5,0.000117129
49,0.0014633
49.5,0.000912659
50,0.00157959
50.5,0.00137544
51,0.00103866
51.5,0.00145593
52,0.000856591
52.5,0.00152494
53,0.00223555
53.5,0.00135118
54,0.000971846
54.5,0.000362575
55,0.000330868
55.5,0.00157211
56,0.0014787
56.5,0.00171192
57,0.000575665
57.5,0.000276221
58,0.000311449
58.5,0.00175061
59,0.000919128
59.5,0.00152886
60,0.0018381
60.5,0.00199959
61,0.000483261
61.5,0.000121431
62,0.00155064
62.5,0.00154637
63,0.00203469
63.5,0.00217076
64,0.001819
64.5,0.00156534
65,0.00126936
65.5,0.00154948
66,0.00181665
66.5,0.00136493
67,0.000425435
67.5,0.00214701
68,0.00235166
68.5,0.00194637
69,0.00143568
69.5,0.00121042
70,0.00193107
70.5,0.00136013
71,0.00102211
71.5,0.00117694
72,0.00145576
72.5,0.00134858
73,0.000884367
73.5,0.000486698
74,0.00214619
74.5,0.000769872
75,0.000982765
75.5,0.000518562
76,0.000969754
76.5,0.00043252
77,0.00106783
77.5,0.00072419
78,0.000592556
78.5,0.000390211
79,0.00144898
79.5,0.00034135
80,0.00056875
80.5,0.000335415
81,0.000786819
81.5,0.00151976
82,0.000632918
82.5,0.00117378
83,0.000270077
83.5,0.000483262
84,0.00106069
84.5,0.000549415
85,0.000724505
85.5,0.00014163
86,0.000641346
86.5,0.00163883
87,0.00130043
87.5,0.000503434
88,0.000951786
88.5,0.00122582
89,0.00112866
89.5,0.000522639
90,0.000944608
90.5,0.000821516
91,0.000170738
91.5,0.000316971
92,0.000742308
92.5,0.0012838
93,0.00102296
93.5,0.00169881
94,0.00155722
94.5,0.00198772
95,0.00322116
95.5,0.00154141
96,0.000368588
96.5,0.0017815
97,0.00174239
97.5,0.00117836
98,0.000694119
98.5,0.00151098
99,0.00197497
99.5,0.00300987
100,0.00166307
100.5,0.000901974
101,0.000769091
101.5,0.00158498
102,0.00230959
102.5,0.00209251
103,0.0019866
103.5,0.00123534
104,0.00193914
104.5,0.00109129
105,0.00100021
105.5,0.00183768
106,0.00200752
106.5,0.00261034
107,0.00262325
107.5,0.00115595
108,0.000456053
108.5,0.000587041
109,1.32181e-05
109.5,0.00176067
110,0.00192642
110.5,0.00159602
111,0.000964119
111.5,0.000638423
112,0.000977613
112.5,0.00102043
113,0.00148308
113.5,0.00105804
114,0.000367511
114.5,0.000907929
115,0.0013507
115.5,0.000598099
116,0.00167591
116.5,0.000588267
117,0.00142793
117.5,0.000203045
118,0.0010646
118.5,0.0030635
119,0.00159829
119.5,0.00131953
120,0.00144667
120.5,0.00251817
121,0.00333104
121.5,0.00311663
122,0.00109549
122.5,0.00205481
123,0.00238302
123.5,0.000377496
124,0.00167812
124.5,0.00169376
125,0.000782326
125.5,0.00137529
